台番,G数,BB,RB,差枚,出率,合成,BB率,RB率
544,524397,1965,1428,-6319,99.6%,1/155,1/267,1/367
545,386828,1424,1153,-290,100.0%,1/150,1/272,1/335
546,373125,1302,1070,-20855,98.1%,1/157,1/287,1/349
547,372883,1325,1114,-11251,99.0%,1/153,1/282,1/335
548,385660,1452,1207,10369,100.9%,1/145,1/266,1/320
549,360440,1318,1061,-3620,99.7%,1/152,1/273,1/340
550,372530,1390,1123,4058,100.4%,1/148,1/268,1/332
551,382261,1436,1131,6298,100.5%,1/149,1/266,1/338
552,362684,1365,1100,10696,101.0%,1/147,1/266,1/330
553,370397,1334,1093,-8780,99.2%,1/153,1/278,1/339
554,354682,1315,1046,978,100.1%,1/150,1/270,1/339
555,481439,1835,1645,47502,103.3%,1/138,1/262,1/293
556,340295,1201,1014,-14722,98.6%,1/154,1/283,1/336
557,366473,1410,1009,7196,100.7%,1/151,1/260,1/363
558,359371,1351,1000,-2523,99.8%,1/153,1/266,1/359
559,341215,1272,918,-7225,99.3%,1/156,1/268,1/372
560,382100,1402,1161,-1454,99.9%,1/149,1/272,1/329
561,360965,1357,1115,9410,100.9%,1/146,1/266,1/324
562,360894,1312,1058,-5564,99.5%,1/152,1/275,1/341
563,392696,1420,1263,-2426,99.8%,1/146,1/277,1/311
564,365139,1366,1145,10134,100.9%,1/145,1/267,1/319
565,468535,1755,1274,-5635,99.6%,1/155,1/267,1/368
587,455902,1666,1324,-10004,99.3%,1/152,1/274,1/344
588,393132,1456,1178,1221,100.1%,1/149,1/270,1/334
589,396236,1517,1113,6314,100.5%,1/151,1/261,1/356
590,363782,1318,1086,-4287,99.6%,1/151,1/276,1/335
591,376056,1401,1086,685,100.1%,1/151,1/268,1/346
592,359944,1355,1026,764,100.1%,1/151,1/266,1/351
593,358703,1353,1092,11935,101.0%,1/147,1/265,1/329
594,385901,1425,1121,-3953,99.7%,1/152,1/271,1/344
595,371843,1432,1038,10614,100.9%,1/151,1/260,1/358
596,372722,1362,1068,-8073,99.3%,1/153,1/274,1/349
597,343150,1277,954,-5976,99.4%,1/154,1/269,1/360
598,372852,1398,1087,2313,100.2%,1/150,1/267,1/343
599,361498,1305,1096,-3286,99.7%,1/151,1/277,1/330
600,386139,1471,1112,9208,100.8%,1/150,1/263,1/347
601,356207,1309,1084,218,100.0%,1/149,1/272,1/329
602,394270,1416,1130,-11293,99.0%,1/155,1/278,1/349
603,401481,1496,1227,7875,100.7%,1/147,1/268,1/327
604,380230,1344,1187,-9717,99.1%,1/150,1/283,1/320
605,379667,1378,1140,-8672,99.2%,1/151,1/276,1/333
606,477376,1794,1268,-9422,99.3%,1/156,1/266,1/377
671,330239,1270,828,-1947,99.8%,1/157,1/260,1/399
672,369198,1378,1059,2404,100.2%,1/152,1/268,1/349
673,305814,1074,879,-18434,98.0%,1/157,1/285,1/348
674,361444,1306,1056,-12535,98.8%,1/153,1/277,1/342
675,340640,1252,977,-5257,99.5%,1/153,1/272,1/349
676,337915,1305,904,5181,100.5%,1/153,1/259,1/374
677,341080,1239,980,-7929,99.2%,1/154,1/275,1/348
678,344848,1299,1026,7475,100.7%,1/148,1/266,1/336
679,354356,1309,1036,-1078,99.9%,1/151,1/271,1/342
680,341118,1209,1064,-3023,99.7%,1/151,1/282,1/321
681,365653,1398,1008,3928,100.4%,1/152,1/262,1/363
682,359804,1432,1048,22014,102.0%,1/145,1/251,1/344
683,447245,1632,1175,-21519,98.4%,1/161,1/271,1/381
689,462219,1773,1241,430,100.0%,1/153,1/261,1/372
690,354866,1247,1082,-13132,98.8%,1/154,1/280,1/324
691,397768,1528,1223,20053,101.7%,1/145,1/260,1/325
692,338300,1185,952,-20138,98.0%,1/158,1/285,1/355
693,350979,1320,978,-2356,99.8%,1/154,1/267,1/359
694,363146,1341,1028,-7562,99.3%,1/153,1/271,1/353
695,347033,1287,972,-3890,99.6%,1/154,1/269,1/357
696,352189,1368,1013,15664,101.5%,1/150,1/253,1/343
697,342269,1175,1041,-17168,98.3%,1/155,1/290,1/328
698,350673,1303,1048,2703,100.3%,1/151,1/264,1/335
699,356344,1327,1030,-3131,99.0%,1/152,1/267,1/346
700,314296,1124,885,-14610,98.4%,1/157,1/279,1/355
701,365775,1363,972,-9210,99.2%,1/157,1/268,1/376
