台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-105,1404,97.5%,4,5,1/156,1/351,1/281
545,1101,4104,108.9%,21,10,1/132,1/195,1/410
546,704,5776,104.1%,23,17,1/144,1/251,1/340
547,34,425,102.7%,2,0,1/213,1/213,-
548,451,6127,102.5%,24,17,1/149,1/255,1/360
549,-93,2958,99%,11,8,1/156,1/269,1/370
550,-675,3355,93.3%,9,14,1/146,1/373,1/240
551,-802,3351,92%,9,9,1/186,1/372,1/372
552,-265,5189,98.3%,15,22,1/140,1/346,1/236
553,-344,1491,92.3%,4,4,1/186,1/373,1/373
554,851,2846,110%,11,13,1/119,1/259,1/219
555,4447,5906,125.1%,31,32,1/94,1/191,1/185
556,901,1992,115.1%,10,8,1/111,1/199,1/249
557,1756,8408,107%,32,37,1/122,1/263,1/227
558,-404,825,83.7%,2,1,1/275,1/413,1/825
559,234,3662,102.1%,14,11,1/146,1/262,1/333
560,-691,695,66.9%,0,2,1/348,-,1/348
561,-155,4053,98.7%,16,10,1/156,1/253,1/405
562,43,2743,100.5%,11,5,1/171,1/249,1/549
563,-27,1030,99.1%,4,2,1/172,1/258,1/515
564,-114,2378,98.4%,9,6,1/159,1/264,1/396
565,-1429,5339,91.1%,17,7,1/222,1/314,1/763
587,199,2490,102.7%,10,5,1/166,1/249,1/498
588,-325,6271,98.3%,22,17,1/161,1/285,1/369
589,-1025,1277,73.2%,2,0,1/639,1/639,-
590,-222,2375,96.9%,8,5,1/183,1/297,1/475
591,1513,4312,111.7%,22,12,1/127,1/196,1/359
592,628,3898,105.4%,15,15,1/130,1/260,1/260
593,-221,609,87.9%,2,1,1/203,1/305,1/609
594,-487,607,73.3%,1,0,1/607,1/607,-
595,-26,2276,99.6%,7,11,1/126,1/325,1/207
596,1252,5485,107.6%,22,25,1/117,1/249,1/219
597,740,4797,105.1%,18,20,1/126,1/267,1/240
598,-464,1202,87.1%,3,3,1/200,1/401,1/401
599,-157,3717,98.6%,12,12,1/155,1/310,1/310
600,-684,2292,90.1%,6,6,1/191,1/382,1/382
601,-509,699,75.7%,1,0,1/699,1/699,-
602,1145,3595,110.6%,19,5,1/150,1/189,1/719
603,1566,6332,108.2%,26,27,1/119,1/244,1/235
604,-276,1059,91.3%,3,2,1/212,1/353,1/530
605,1113,5784,106.4%,28,11,1/148,1/207,1/526
606,-1320,1896,76.8%,4,2,1/316,1/474,1/948
671,-1021,1068,68.1%,1,1,1/534,1/1068,1/1068
672,-987,3252,89.9%,11,7,1/181,1/296,1/465
673,285,4480,102.1%,16,17,1/136,1/280,1/264
674,-553,428,56.9%,0,0,-,-,-
675,1603,7100,107.5%,29,31,1/118,1/245,1/229
676,-600,706,71.7%,1,1,1/353,1/706,1/706
677,991,5255,106.3%,25,14,1/135,1/210,1/375
678,-242,395,79.6%,1,0,1/395,1/395,-
679,-621,2189,90.5%,6,6,1/182,1/365,1/365
680,-480,1204,86.7%,2,5,1/172,1/602,1/241
681,-731,4607,94.7%,15,14,1/159,1/307,1/329
682,-568,1708,88.9%,5,3,1/214,1/342,1/569
683,1256,4601,109.1%,24,11,1/131,1/192,1/418
689,-1076,4274,91.6%,12,10,1/194,1/356,1/427
690,-153,1604,96.8%,8,0,1/201,1/201,-
691,879,2853,110.3%,16,6,1/130,1/178,1/476
692,-391,486,73.2%,0,1,1/486,-,1/486
693,1595,5917,109%,27,22,1/121,1/219,1/269
694,54,2805,100.6%,11,10,1/134,1/255,1/281
695,1273,3873,111%,18,14,1/121,1/215,1/277
696,-415,632,78.1%,1,1,1/316,1/632,1/632
697,751,3056,108.2%,13,11,1/127,1/235,1/278
698,922,6207,105%,26,19,1/138,1/239,1/327
699,-349,1608,92.8%,4,6,1/161,1/402,1/268
700,412,2008,106.8%,10,4,1/143,1/201,1/502
701,615,4018,105.1%,18,10,1/144,1/223,1/402
