台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,692,4311,105.4%,18,10,1/154,1/240,1/431
545,1192,6638,106.0%,28,26,1/123,1/237,1/255
546,1286,4769,109.0%,21,15,1/132,1/227,1/318
547,42,1371,101.0%,4,7,1/125,1/343,1/196
548,1160,6835,105.7%,28,27,1/124,1/244,1/253
549,-654,3103,93.0%,10,7,1/183,1/310,1/443
550,-302,1131,91.1%,4,1,1/226,1/283,1/1131
551,-315,3285,96.8%,10,9,1/173,1/329,1/365
552,-922,1811,83.0%,4,2,1/302,1/453,1/906
553,-738,1698,85.5%,4,5,1/189,1/425,1/340
554,-206,4068,98.3%,14,12,1/156,1/291,1/339
555,-168,2008,97.2%,4,11,1/134,1/502,1/183
556,-187,2126,97.1%,7,7,1/152,1/304,1/304
557,914,4239,107.2%,22,7,1/146,1/193,1/606
558,-372,506,75.5%,1,0,1/506,1/506,-
559,775,4086,106.3%,20,7,1/151,1/204,1/584
560,-633,1673,87.4%,4,4,1/209,1/418,1/418
561,-764,1665,84.7%,4,3,1/238,1/416,1/555
562,-483,3361,95.2%,11,11,1/153,1/306,1/306
563,-645,783,72.5%,1,1,1/392,1/783,1/783
564,-644,1023,79.0%,2,0,1/512,1/512,-
565,-1258,5061,91.7%,15,11,1/195,1/337,1/460
587,-286,788,87.9%,2,1,1/263,1/394,1/788
588,-1368,6528,93.0%,18,23,1/159,1/363,1/284
589,21,2781,100.3%,10,10,1/139,1/278,1/278
590,1261,3911,110.7%,20,8,1/140,1/196,1/489
591,-670,781,71.4%,1,0,1/781,1/781,-
592,-352,1989,94.1%,6,6,1/166,1/332,1/332
593,745,5029,104.9%,22,15,1/136,1/229,1/335
594,-409,733,81.4%,2,0,1/367,1/367,-
595,-714,558,57.3%,0,0,-,-,-
596,3015,7177,114.0%,32,33,1/110,1/224,1/217
597,-130,1259,96.6%,4,3,1/180,1/315,1/420
598,-93,4121,99.2%,16,10,1/159,1/258,1/412
599,-424,1690,91.6%,5,7,1/141,1/338,1/241
600,-25,3791,99.8%,14,11,1/152,1/271,1/345
601,-502,1605,89.6%,4,3,1/229,1/401,1/535
602,-1172,2251,82.6%,4,6,1/225,1/563,1/375
603,-948,3072,89.7%,8,8,1/192,1/384,1/384
604,-1359,2375,80.9%,4,6,1/238,1/594,1/396
605,128,3345,101.3%,13,10,1/145,1/257,1/335
606,-349,5749,98.0%,20,15,1/164,1/287,1/383
671,-572,2593,92.6%,7,9,1/162,1/370,1/288
672,-504,4473,96.2%,13,15,1/160,1/344,1/298
673,-581,2010,90.4%,4,9,1/155,1/503,1/223
674,83,2355,101.2%,8,7,1/157,1/294,1/336
675,242,3712,102.2%,16,8,1/155,1/232,1/464
676,-779,2030,87.2%,4,9,1/156,1/508,1/226
677,896,6222,104.8%,27,19,1/135,1/230,1/327
678,-355,1522,92.2%,4,7,1/138,1/381,1/217
679,-272,1712,94.7%,6,2,1/214,1/285,1/856
680,-481,996,83.9%,2,2,1/249,1/498,1/498
681,572,6533,102.9%,27,18,1/145,1/242,1/363
682,-599,483,58.7%,0,0,-,-,-
683,-851,2886,90.2%,7,8,1/192,1/412,1/361
689,-542,1654,89.1%,5,3,1/207,1/331,1/551
690,-818,3339,91.8%,9,10,1/176,1/371,1/334
691,-547,1204,84.9%,4,1,1/241,1/301,1/1204
692,-1134,5919,93.6%,20,13,1/179,1/296,1/455
693,0,1216,100.0%,4,4,1/152,1/304,1/304
694,-421,1324,89.4%,4,2,1/221,1/331,1/662
695,-27,1862,99.5%,6,6,1/155,1/310,1/310
696,923,6694,104.6%,27,23,1/134,1/248,1/291
697,831,2491,111.1%,14,4,1/138,1/178,1/623
698,-422,1198,88.3%,3,2,1/240,1/399,1/599
699,471,4956,103.2%,18,19,1/134,1/275,1/261
700,-309,518,80.1%,1,0,1/518,1/518,-
701,-39,5820,99.8%,21,18,1/149,1/277,1/323
