台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-78,5423,99.5,22,11,1/164,1/247,1/493
545,-1051,4659,92.5,13,15,1/166,1/358,1/311
546,-1546,4799,89.3,12,15,1/178,1/400,1/320
547,-1263,2034,79.3,4,3,1/291,1/509,1/678
548,-2208,3815,80.7,7,8,1/254,1/545,1/477
549,-487,3112,94.8,13,1,1/222,1/239,1/3112
550,-465,1996,92.2,6,5,1/181,1/333,1/399
551,95,7117,100.4,28,17,1/158,1/254,1/419
552,-1074,1889,81.0,3,4,1/270,1/630,1/472
553,1937,7455,108.7,31,34,1/115,1/240,1/219
554,-486,2104,92.3,5,6,1/191,1/421,1/351
555,37,6974,100.2,27,21,1/145,1/258,1/332
556,664,3788,105.8,16,12,1/135,1/237,1/316
557,-520,3895,95.5,13,9,1/177,1/300,1/433
558,2971,6705,114.8,34,25,1/114,1/197,1/268
559,230,3517,102.2,18,3,1/167,1/195,1/1172
560,-650,1804,88.0,5,2,1/258,1/361,1/902
561,111,5625,100.7,20,22,1/134,1/281,1/256
562,-620,2496,91.7,7,8,1/166,1/357,1/312
563,1701,7934,107.1,33,35,1/117,1/240,1/227
564,-1529,2036,75.0,2,5,1/291,1/1018,1/407
565,-127,6566,99.4,26,15,1/160,1/253,1/438
587,-405,4947,97.3,18,12,1/165,1/275,1/412
588,-1654,5359,89.7,11,19,1/179,1/487,1/282
589,2357,7467,110.5,36,21,1/131,1/207,1/356
590,1066,6110,105.8,27,15,1/145,1/226,1/407
591,-206,1281,94.6,4,3,1/183,1/320,1/427
592,-303,3205,96.8,13,6,1/169,1/247,1/534
593,-535,4909,96.4,14,16,1/164,1/351,1/307
594,45,3773,100.4,18,5,1/164,1/210,1/755
595,-326,3697,97.1,14,7,1/176,1/264,1/528
596,-576,2621,92.7,8,7,1/175,1/328,1/374
597,-1267,3021,86.0,8,3,1/275,1/378,1/1007
598,1169,6477,106.0,26,25,1/127,1/249,1/259
599,-873,2708,89.3,6,11,1/159,1/451,1/246
600,-390,4838,97.3,17,14,1/156,1/285,1/346
601,615,8214,102.5,32,35,1/123,1/257,1/235
602,-524,2699,93.5,7,8,1/180,1/386,1/337
603,1237,6936,105.9,29,22,1/136,1/239,1/315
604,-366,2697,95.5,10,4,1/193,1/270,1/674
605,-749,6071,95.9,22,12,1/179,1/276,1/506
606,-719,4467,94.6,16,9,1/179,1/279,1/496
671,-563,4816,96.1,15,13,1/172,1/321,1/370
672,-192,1561,95.9,6,3,1/173,1/260,1/520
673,-1372,3797,88.0,7,16,1/165,1/542,1/237
674,-463,5894,97.4,20,20,1/147,1/295,1/295
675,121,4415,100.9,19,9,1/158,1/232,1/491
676,-246,4651,98.2,17,12,1/160,1/274,1/388
677,-858,1625,82.4,3,4,1/232,1/542,1/406
678,-1905,2465,74.2,3,3,1/411,1/822,1/822
679,121,4890,100.8,19,13,1/153,1/257,1/376
680,-528,5015,96.5,15,19,1/148,1/334,1/264
681,1531,3343,115.3,18,11,1/115,1/186,1/304
682,-544,2210,91.8,7,5,1/184,1/316,1/442
683,519,6358,102.7,25,19,1/145,1/254,1/335
689,698,6892,103.4,29,17,1/150,1/238,1/405
690,-347,3743,96.9,14,9,1/163,1/267,1/416
691,1316,5472,108.0,27,8,1/156,1/203,1/684
692,-390,2739,95.3,10,3,1/211,1/274,1/913
693,-126,1546,97.3,6,1,1/221,1/258,1/1546
694,-913,2147,85.8,6,4,1/215,1/358,1/537
695,854,4132,106.9,19,12,1/133,1/217,1/344
696,84,4209,100.7,17,8,1/168,1/248,1/526
697,-621,528,60.8,0,1,1/528,-,1/528
698,4734,8085,119.5,40,41,1/100,1/202,1/197
699,521,3852,104.5,16,13,1/133,1/241,1/296
700,-705,776,69.7,0,2,1/388,-,1/388
701,-1419,5355,91.2,19,3,1/243,1/282,1/1785
平均,-110,4232,99.1,16,12,1/155,1/272,1/360
