台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-469,8292,98.1,29,25,1/154,1/286,1/332
545,378,1253,110.1,7,2,1/139,1/179,1/627
546,-250,5186,98.4,17,18,1/148,1/305,1/288
547,1489,9241,105.4,33,42,1/123,1/280,1/220
548,4808,7552,121.2,43,30,1/103,1/176,1/252
549,-1526,3523,85.6,8,12,1/176,1/440,1/294
550,-782,1468,82.2,3,3,1/245,1/489,1/489
551,-1015,882,61.6,0,2,1/441,-,1/441
552,3304,7366,115.0,37,25,1/119,1/199,1/295
553,-1123,5827,93.6,16,19,1/166,1/364,1/307
554,-961,3851,91.7,11,9,1/193,1/350,1/428
555,919,5530,105.5,23,18,1/135,1/240,1/307
556,586,2859,106.8,13,6,1/150,1/220,1/477
557,-487,1795,91.0,6,3,1/199,1/299,1/598
558,225,1388,105.4,7,3,1/139,1/198,1/463
559,2545,8895,109.5,43,31,1/120,1/207,1/287
560,162,6222,100.9,24,21,1/138,1/259,1/296
561,-267,875,89.8,2,2,1/219,1/438,1/438
562,-68,6526,99.7,22,23,1/145,1/297,1/284
563,1445,7880,106.1,32,30,1/127,1/246,1/263
564,2291,5598,113.6,27,24,1/110,1/207,1/233
565,1679,8024,107.0,34,31,1/123,1/236,1/259
587,589,7182,102.7,26,30,1/128,1/276,1/239
588,-545,4248,95.7,13,13,1/163,1/327,1/327
589,-1263,1778,76.3,3,4,1/254,1/593,1/445
590,-893,1694,82.4,3,5,1/212,1/565,1/339
591,1897,8694,107.3,30,50,1/109,1/290,1/174
592,4134,9433,114.6,47,37,1/112,1/201,1/255
593,-199,696,90.5,2,1,1/232,1/348,1/696
594,886,5646,105.2,25,14,1/145,1/226,1/403
595,-774,4479,94.2,15,8,1/195,1/299,1/560
596,-927,2975,89.6,9,6,1/198,1/331,1/496
597,-728,2046,88.1,5,6,1/186,1/409,1/341
598,-414,3964,96.5,15,6,1/189,1/264,1/661
599,-1126,2341,84.0,6,3,1/260,1/390,1/780
600,1629,6339,108.6,31,16,1/135,1/204,1/396
601,-1193,2895,86.3,8,3,1/263,1/362,1/965
602,-465,5193,97.0,18,12,1/173,1/289,1/433
603,3683,6729,118.2,36,29,1/104,1/187,1/232
604,169,1222,104.6,5,3,1/153,1/244,1/407
605,2621,7708,111.3,31,44,1/103,1/249,1/175
606,1398,5439,108.6,27,12,1/139,1/201,1/453
671,-527,2908,94.0,11,3,1/208,1/264,1/969
672,465,3065,105.1,14,7,1/146,1/219,1/438
673,-315,2868,96.3,8,11,1/151,1/359,1/261
674,2504,7710,110.8,37,26,1/122,1/208,1/297
675,-678,843,73.2,1,1,1/422,1/843,1/843
676,-321,3144,96.6,14,3,1/185,1/225,1/1048
677,639,5595,103.8,25,12,1/151,1/224,1/466
678,-545,2614,93.1,8,5,1/201,1/327,1/523
679,-309,1552,93.4,6,2,1/194,1/259,1/776
680,3561,8269,114.4,35,46,1/102,1/236,1/180
681,-806,1965,86.3,4,5,1/218,1/491,1/393
682,-1298,6478,93.3,16,27,1/151,1/405,1/240
683,-1475,3534,86.1,7,12,1/186,1/505,1/295
689,-1305,4838,91.0,17,6,1/210,1/285,1/806
690,-1102,2233,83.5,4,7,1/203,1/558,1/319
691,167,6656,100.8,27,19,1/145,1/247,1/350
692,-287,2800,96.6,9,7,1/175,1/311,1/400
693,3361,9479,111.8,42,40,1/116,1/226,1/237
694,-75,4666,99.5,13,20,1/141,1/359,1/233
695,441,5712,102.6,23,16,1/146,1/248,1/357
696,-649,741,70.8,1,0,1/741,1/741,-
697,874,6550,104.4,27,21,1/136,1/243,1/312
698,-629,2127,90.1,8,2,1/213,1/266,1/1064
699,181,2908,102.1,14,3,1/171,1/208,1/969
700,1678,3747,114.9,22,9,1/121,1/170,1/416
701,1082,7251,105.0,28,30,1/125,1/259,1/242
平均,382,4573,102.8,18,15,1/139,1/256,1/305
