台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1036,4312,92%,14,9,1/187,1/308,1/479
545,-855,6021,95.3%,17,22,1/154,1/354,1/274
546,155,6475,100.8%,21,28,1/132,1/308,1/231
547,-356,1810,93.4%,7,2,1/201,1/259,1/905
548,-445,3413,95.7%,11,10,1/163,1/310,1/341
549,-181,3096,98.1%,12,5,1/182,1/258,1/619
550,-803,5831,95.4%,22,14,1/162,1/265,1/417
551,-538,3119,94.3%,11,4,1/208,1/284,1/780
552,-195,2885,97.7%,12,4,1/180,1/240,1/721
553,-151,8252,99.4%,25,34,1/140,1/330,1/243
554,-410,3575,96.2%,10,16,1/138,1/358,1/223
555,-1281,2119,79.8%,4,3,1/303,1/530,1/706
556,-1022,1890,82%,4,3,1/270,1/473,1/630
557,732,6566,103.7%,25,27,1/126,1/263,1/243
558,-449,1811,91.7%,7,2,1/201,1/259,1/906
559,-128,3932,98.9%,16,7,1/171,1/246,1/562
560,-241,5461,98.5%,22,9,1/176,1/248,1/607
561,-902,5005,94%,17,16,1/152,1/294,1/313
562,-174,4691,98.8%,16,16,1/147,1/293,1/293
563,-1339,6239,92.8%,19,17,1/173,1/328,1/367
564,-771,1621,84.1%,4,3,1/232,1/405,1/540
565,22,6223,100.1%,20,22,1/148,1/311,1/283
587,555,6461,102.9%,27,19,1/140,1/239,1/340
588,-1054,3106,88.7%,9,7,1/194,1/345,1/444
589,-1351,4665,90.3%,14,10,1/194,1/333,1/467
590,-611,8611,97.6%,25,38,1/137,1/344,1/227
591,-945,1268,75.2%,2,2,1/317,1/634,1/634
592,-987,2189,85%,5,3,1/274,1/438,1/730
593,-157,4111,98.7%,17,9,1/158,1/242,1/457
594,-1637,4294,87.3%,10,11,1/204,1/429,1/390
595,-874,5447,94.7%,16,16,1/170,1/340,1/340
596,1153,7089,105.4%,27,28,1/129,1/263,1/253
597,-366,1042,88.3%,3,1,1/261,1/347,1/1042
598,-55,7036,99.7%,23,28,1/138,1/306,1/251
599,1927,5486,111.7%,26,21,1/117,1/211,1/261
600,-618,2652,92.2%,8,6,1/189,1/332,1/442
601,382,5321,102.4%,21,15,1/148,1/253,1/355
602,195,6199,101%,24,20,1/141,1/258,1/310
603,-902,1605,81.3%,3,2,1/321,1/535,1/803
604,644,6046,103.6%,25,18,1/141,1/242,1/336
605,243,2970,102.7%,13,6,1/156,1/228,1/495
606,496,7228,102.3%,28,25,1/136,1/258,1/289
671,-540,4151,95.7%,14,12,1/160,1/297,1/346
672,1255,5849,107.2%,26,18,1/133,1/225,1/325
673,381,6737,101.9%,23,25,1/140,1/293,1/269
674,-669,4948,95.5%,14,17,1/160,1/353,1/291
675,-747,3310,92.5%,10,7,1/195,1/331,1/473
676,438,5661,102.6%,23,15,1/149,1/246,1/377
677,-1298,3619,88%,7,12,1/190,1/517,1/302
678,-1369,3051,85%,7,5,1/254,1/436,1/610
679,-1056,6979,95%,23,19,1/166,1/303,1/367
680,-238,1386,94.3%,5,1,1/231,1/277,1/1386
681,2124,7060,110%,37,16,1/133,1/191,1/441
682,-1373,1957,76.6%,3,3,1/326,1/652,1/652
683,-2183,6670,89.1%,16,23,1/171,1/417,1/290
689,-399,6703,98%,26,14,1/168,1/258,1/479
690,-1092,1894,80.8%,5,1,1/316,1/379,1/1894
691,-1085,1494,75.8%,2,1,1/498,1/747,1/1494
692,1223,8421,104.8%,36,25,1/138,1/234,1/337
693,-1852,3716,83.4%,8,6,1/265,1/465,1/619
694,-30,4022,99.8%,18,7,1/161,1/223,1/575
695,-1001,2939,88.6%,8,2,1/294,1/367,1/1470
696,-1197,2742,85.4%,7,5,1/229,1/392,1/548
697,-687,4178,94.5%,13,12,1/167,1/321,1/348
698,-163,2735,98%,10,5,1/182,1/274,1/547
699,-1546,4302,88%,9,18,1/159,1/478,1/239
700,-173,3881,98.5%,15,8,1/169,1/259,1/485
701,-925,3092,90%,8,9,1/182,1/387,1/344
平均,-420,4392,96.8%,15,12,1/161,1/294,1/354
