台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1317,2709,83.8%,5,6,1/246,1/542,1/452
545,371,3252,103.8%,15,6,1/155,1/217,1/542
546,107,2927,101.2%,11,8,1/154,1/266,1/366
547,760,7470,103.4%,31,21,1/144,1/241,1/356
548,3444,7252,115.8%,36,38,1/98,1/201,1/191
549,-132,7299,99.4%,27,23,1/146,1/270,1/317
550,479,7531,102.1%,28,27,1/137,1/269,1/279
551,568,2959,106.4%,14,7,1/141,1/211,1/423
552,709,8762,102.7%,31,37,1/129,1/283,1/237
553,1289,4132,110.4%,23,9,1/129,1/180,1/459
554,1008,4493,107.5%,21,12,1/136,1/214,1/374
555,-759,1786,85.8%,6,2,1/223,1/298,1/893
556,1207,8554,104.7%,35,30,1/132,1/244,1/285
557,228,3564,102.1%,15,7,1/162,1/238,1/509
558,-120,3887,99%,15,8,1/169,1/259,1/486
559,2190,6010,112.1%,26,28,1/111,1/231,1/215
560,853,8906,103.2%,30,46,1/117,1/297,1/194
561,802,4826,105.5%,19,18,1/130,1/254,1/268
562,-617,2128,90.3%,7,1,1/266,1/304,1/2128
563,-1351,3511,87.2%,10,4,1/251,1/351,1/878
564,-1587,5195,89.8%,14,11,1/208,1/371,1/472
565,-1529,4598,88.9%,11,10,1/219,1/418,1/460
587,-96,4035,99.2%,16,7,1/175,1/252,1/576
588,147,4391,101.1%,19,8,1/163,1/231,1/549
589,-956,1381,76.9%,2,1,1/460,1/691,1/1381
590,-454,4077,96.3%,14,10,1/170,1/291,1/408
591,1371,5079,109%,23,17,1/127,1/221,1/299
592,-346,4954,97.7%,15,20,1/142,1/330,1/248
593,-599,3689,94.6%,10,12,1/168,1/369,1/307
594,-1302,2293,81.1%,4,5,1/255,1/573,1/459
595,-1177,3392,88.4%,10,5,1/226,1/339,1/678
596,-1262,3477,87.9%,8,9,1/205,1/435,1/386
597,-2021,2827,76.2%,4,4,1/353,1/707,1/707
598,-1032,4102,91.6%,12,12,1/171,1/342,1/342
599,857,3318,108.6%,18,4,1/151,1/184,1/830
600,2942,7527,113%,36,33,1/109,1/209,1/228
601,562,4377,104.3%,17,16,1/133,1/257,1/274
602,-285,909,89.5%,3,0,1/303,1/303,-
603,284,4900,101.9%,21,8,1/169,1/233,1/613
604,-532,1589,88.8%,4,2,1/265,1/397,1/795
605,-1211,4997,91.9%,17,10,1/185,1/294,1/500
606,-1108,4413,91.6%,15,9,1/184,1/294,1/490
671,-1128,3839,90.2%,11,8,1/202,1/349,1/480
672,-399,1325,90%,4,2,1/221,1/331,1/663
673,-840,4247,93.4%,14,9,1/185,1/303,1/472
674,1660,6993,107.9%,27,35,1/113,1/259,1/200
675,651,3436,106.3%,16,10,1/132,1/215,1/344
676,-427,1771,92%,5,4,1/197,1/354,1/443
677,728,4611,105.3%,22,12,1/136,1/210,1/384
678,-514,3872,95.6%,13,8,1/184,1/298,1/484
679,-421,5959,97.6%,20,15,1/170,1/298,1/397
680,-173,1631,96.5%,6,3,1/181,1/272,1/544
681,-1457,2154,77.5%,4,1,1/431,1/539,1/2154
682,381,6363,102%,26,16,1/152,1/245,1/398
683,-939,3789,91.7%,10,9,1/199,1/379,1/421
689,-229,5959,98.7%,22,17,1/153,1/271,1/351
690,-363,3788,96.8%,10,18,1/135,1/379,1/210
691,4310,7952,118.1%,44,31,1/106,1/181,1/257
692,1210,3329,112.1%,18,9,1/123,1/185,1/370
693,-316,3651,97.1%,12,11,1/159,1/304,1/332
694,-416,4137,96.6%,15,10,1/165,1/276,1/414
695,-872,4583,93.7%,13,16,1/158,1/353,1/286
696,218,3813,101.9%,16,7,1/166,1/238,1/545
697,-1067,4808,92.6%,12,17,1/166,1/401,1/283
698,-1478,1892,74%,4,1,1/378,1/473,1/1892
699,-510,1733,90.2%,4,4,1/217,1/433,1/433
700,1463,5562,108.8%,28,11,1/143,1/199,1/506
701,-771,3930,93.5%,13,6,1/207,1/302,1/655
平均,-19,4303,99.9%,16,12,1/152,1/269,1/348
