台番,差枚,G数,出率,BB,RB,合成,BB率,RB率
544,-1193,5463,92.7%,16,17,1/166,1/341,1/321
545,266,4386,102%,18,10,1/157,1/244,1/439
546,-1639,6023,90.9%,14,19,1/183,1/430,1/317
547,-1528,4650,89%,15,7,1/211,1/310,1/664
548,-1526,4907,89.6%,15,9,1/204,1/327,1/545
549,515,5498,103.1%,23,15,1/145,1/239,1/367
550,774,6269,104.1%,23,28,1/123,1/273,1/224
551,-372,3677,96.6%,14,8,1/167,1/263,1/460
552,588,7544,102.6%,26,34,1/126,1/290,1/222
553,-980,4155,92.1%,10,12,1/189,1/416,1/346
554,-733,4175,94.1%,13,11,1/174,1/321,1/380
555,-893,3560,91.6%,10,9,1/187,1/356,1/396
556,-203,2711,97.5%,9,7,1/169,1/301,1/387
557,3683,7329,116.8%,38,28,1/111,1/193,1/262
558,1977,6076,110.8%,27,24,1/119,1/225,1/253
559,-234,4220,98.2%,15,12,1/156,1/281,1/352
560,1829,7936,107.7%,30,41,1/112,1/265,1/194
561,162,3906,101.4%,17,8,1/156,1/230,1/488
562,1416,6465,107.3%,29,23,1/124,1/223,1/281
563,883,7855,103.7%,29,28,1/138,1/271,1/281
564,-668,6182,96.4%,19,20,1/159,1/325,1/309
565,-1335,4034,89%,12,7,1/212,1/336,1/576
587,-723,6371,96.2%,21,17,1/168,1/303,1/375
588,1366,7234,106.3%,34,19,1/136,1/213,1/381
589,-760,5590,95.5%,16,21,1/151,1/349,1/266
590,-676,4954,95.5%,16,18,1/146,1/310,1/275
591,-955,3439,90.7%,12,4,1/215,1/287,1/860
592,-8,7439,100%,31,16,1/158,1/240,1/465
593,-1090,4085,91.1%,10,15,1/163,1/409,1/272
594,710,6917,103.4%,31,17,1/144,1/223,1/407
595,-1177,3897,89.9%,12,8,1/195,1/325,1/487
596,107,6426,100.6%,22,23,1/143,1/292,1/279
597,-207,3022,97.7%,11,9,1/151,1/275,1/336
598,-803,4280,93.7%,13,14,1/159,1/329,1/306
599,4837,8519,118.9%,43,39,1/104,1/198,1/218
600,2075,7687,109%,36,21,1/135,1/214,1/366
601,-208,2921,97.6%,11,6,1/172,1/266,1/487
602,2335,7619,110.2%,36,26,1/123,1/212,1/293
603,-1333,2378,81.3%,4,7,1/216,1/595,1/340
604,-187,6741,99.1%,20,30,1/135,1/337,1/225
605,-1350,4143,89.1%,13,5,1/230,1/319,1/829
606,-1314,4525,90.3%,12,12,1/189,1/377,1/377
671,747,5916,104.2%,26,10,1/164,1/228,1/592
672,-52,7022,99.8%,26,21,1/149,1/270,1/334
673,-862,3856,92.5%,11,12,1/168,1/351,1/321
674,-998,2681,87.6%,6,10,1/168,1/447,1/268
675,345,6978,101.6%,27,22,1/142,1/258,1/317
676,1298,5915,107.3%,29,14,1/138,1/204,1/423
677,-356,4432,97.3%,16,11,1/164,1/277,1/403
678,1386,7440,106.2%,29,29,1/128,1/257,1/257
679,2362,7873,110%,38,27,1/121,1/207,1/292
680,-927,2110,85.4%,5,4,1/234,1/422,1/528
681,973,4954,106.5%,25,6,1/160,1/198,1/826
682,2006,7770,108.6%,33,31,1/121,1/235,1/251
683,-522,7153,97.6%,27,15,1/170,1/265,1/477
689,-663,7747,97.1%,27,21,1/161,1/287,1/369
690,-1298,4506,90.4%,13,11,1/188,1/347,1/410
691,22,6149,100.1%,22,17,1/158,1/280,1/362
692,-349,7202,98.4%,18,37,1/131,1/400,1/195
693,3419,8719,113.1%,40,38,1/112,1/218,1/229
694,-64,4274,99.5%,14,13,1/158,1/305,1/329
695,-1209,7486,94.6%,26,15,1/183,1/288,1/499
696,-211,4212,98.3%,15,9,1/176,1/281,1/468
697,-1280,3416,87.5%,8,7,1/228,1/427,1/488
698,26,5591,100.2%,19,19,1/147,1/294,1/294
699,55,5524,100.3%,20,17,1/149,1/276,1/325
700,-2134,3229,78%,5,4,1/359,1/646,1/807
701,-762,4457,94.3%,16,9,1/178,1/279,1/495
平均,35,5468,100.2%,20,17,1/149,1/272,1/328
