台番,差枚,G数,出率,BB,RB,合成,BB率,RB率,ブドウ率
544,-1449,5239,90.8%,16,9,1/210,1/327,1/582,1/5.99
545,-440,5089,97.1%,18,11,1/175,1/283,1/463,1/5.87
546,-1246,3573,88.4%,9,10,1/188,1/397,1/357,1/6.17
547,-830,1859,85.1%,5,1,1/310,1/372,1/1859,1/5.83
548,855,5544,105.1%,22,20,1/132,1/252,1/277,1/5.90
549,-489,4504,96.4%,13,17,1/150,1/346,1/265,1/5.93
550,2250,5665,113.2%,28,21,1/116,1/202,1/270,1/5.95
551,-473,4620,96.6%,14,17,1/149,1/330,1/272,1/6.02
552,1896,5219,112.1%,25,16,1/127,1/209,1/326,1/5.68
553,-965,4348,92.6%,13,15,1/155,1/334,1/290,1/6.45
554,380,2244,105.6%,10,6,1/140,1/224,1/374,1/5.98
555,3443,8342,113.8%,35,43,1/107,1/238,1/194,1/5.68
556,3535,8713,113.5%,41,36,1/113,1/213,1/242,1/5.84
557,-133,1917,97.7%,7,4,1/174,1/274,1/479,1/5.89
558,258,3327,102.6%,15,7,1/151,1/222,1/475,1/6.22
559,1605,6370,108.4%,31,19,1/127,1/205,1/335,1/6.22
560,-393,4677,97.2%,16,11,1/173,1/292,1/425,1/5.81
561,-1724,5178,88.9%,14,11,1/207,1/370,1/471,1/6.02
562,-402,4741,97.2%,17,13,1/158,1/279,1/365,1/6.17
563,-762,3072,91.7%,8,10,1/171,1/384,1/307,1/6.01
564,1619,6056,108.9%,29,15,1/138,1/209,1/404,1/5.84
565,-109,5264,99.3%,20,13,1/160,1/263,1/405,1/6.00
587,-322,5459,98%,21,13,1/161,1/260,1/420,1/6.20
588,1057,5766,106.1%,25,19,1/131,1/231,1/303,1/6.05
589,-634,4515,95.3%,14,16,1/151,1/323,1/282,1/6.22
590,1167,9015,104.3%,33,36,1/131,1/273,1/250,1/5.83
591,2498,8288,110%,41,22,1/132,1/202,1/377,1/5.94
592,484,2387,106.8%,11,6,1/140,1/217,1/398,1/5.94
593,-1140,1927,80.3%,3,2,1/385,1/642,1/964,1/5.46
594,-989,2536,87%,8,2,1/254,1/317,1/1268,1/6.22
595,-108,2583,98.6%,12,4,1/161,1/215,1/646,1/6.74
596,2638,7315,112%,37,25,1/118,1/198,1/293,1/6.13
597,2246,7016,110.7%,32,30,1/113,1/219,1/234,1/6.12
598,-1464,3465,85.9%,8,8,1/217,1/433,1/433,1/6.05
599,-262,3623,97.6%,14,7,1/173,1/259,1/518,1/6.08
600,119,7427,100.5%,26,30,1/133,1/286,1/248,1/6.18
601,194,2893,102.2%,13,6,1/152,1/223,1/482,1/6.23
602,586,2618,107.5%,14,6,1/131,1/187,1/436,1/6.64
603,465,7654,102%,28,26,1/142,1/273,1/294,1/5.88
604,-186,3782,98.4%,12,16,1/135,1/315,1/236,1/6.19
605,-224,1346,94.5%,5,2,1/192,1/269,1/673,1/6.14
606,387,5855,102.2%,25,10,1/167,1/234,1/586,1/5.82
671,-1157,2852,86.5%,6,8,1/204,1/475,1/357,1/5.96
672,-850,2780,89.8%,8,7,1/185,1/348,1/397,1/6.27
673,1574,6559,108%,30,22,1/126,1/219,1/298,1/6.09
674,1076,5905,106.1%,25,20,1/131,1/236,1/295,1/5.98
675,619,6705,103.1%,31,14,1/149,1/216,1/479,1/6.28
676,-786,4193,93.8%,12,16,1/150,1/349,1/262,1/6.29
677,-848,5670,95%,16,21,1/153,1/354,1/270,1/6.01
678,-124,5732,99.3%,20,19,1/147,1/287,1/302,1/6.02
679,-209,7094,99%,21,32,1/134,1/338,1/222,1/5.97
680,-424,1962,92.8%,7,4,1/178,1/280,1/491,1/6.47
681,1495,6724,107.4%,30,21,1/132,1/224,1/320,1/5.94
682,-1380,1751,73.7%,2,3,1/350,1/876,1/584,1/6.12
683,1309,6682,106.5%,29,21,1/134,1/230,1/318,1/5.93
689,-1043,5416,93.6%,19,9,1/193,1/285,1/602,1/6.10
690,-525,3331,94.7%,10,12,1/151,1/333,1/278,1/6.21
691,797,5613,104.7%,28,6,1/165,1/200,1/936,1/6.01
692,-580,5640,96.6%,21,15,1/157,1/269,1/376,1/6.39
693,1268,5995,107.1%,27,15,1/143,1/222,1/400,1/5.78
694,-545,671,72.9%,1,1,1/336,1/671,1/671,1/6.57
695,1238,6892,106%,30,23,1/130,1/230,1/300,1/6.11
696,291,3857,102.5%,14,14,1/138,1/276,1/276,1/5.88
697,527,3734,104.7%,16,9,1/149,1/233,1/415,1/5.81
698,-1531,2989,82.9%,6,7,1/230,1/498,1/427,1/6.13
699,-621,4913,95.8%,18,12,1/164,1/273,1/409,1/6.33
700,-908,1503,79.9%,2,3,1/301,1/752,1/501,1/5.65
701,-594,4100,95.2%,16,6,1/186,1/256,1/683,1/6.26
