台番,G数,BB,RB,差枚,出率,合成,BB率,RB率
544,5514,24,21,1526,109.2%,1/123,1/230,1/263
545,3431,12,9,-437,95.8%,1/163,1/286,1/381
546,6480,24,31,1119,105.8%,1/118,1/270,1/209
547,6130,26,18,603,103.3%,1/139,1/236,1/341
548,3619,12,6,-676,93.8%,1/201,1/302,1/603
549,5770,24,18,1208,107.0%,1/137,1/240,1/321
550,6790,28,18,852,104.2%,1/148,1/243,1/377
551,1329,1,1,-1146,71.3%,1/665,1/1329,1/1329
552,2935,5,9,-1550,82.4%,1/210,1/587,1/326
553,4301,14,10,-790,93.9%,1/179,1/307,1/430
554,5982,18,13,-1143,93.6%,1/193,1/332,1/460
555,6298,25,10,-334,98.2%,1/180,1/252,1/630
556,5401,18,20,304,101.9%,1/142,1/300,1/270
557,4629,23,12,1224,108.8%,1/132,1/201,1/386
558,3031,13,5,179,102.0%,1/168,1/233,1/606
559,5430,18,12,-710,95.6%,1/181,1/302,1/453
560,2329,8,3,-843,87.9%,1/212,1/291,1/776
561,4341,12,13,-761,94.2%,1/174,1/362,1/334
562,2122,8,6,241,103.8%,1/152,1/265,1/354
563,8213,27,46,1051,104.3%,1/113,1/304,1/179
564,7622,30,28,1207,105.3%,1/131,1/254,1/272
565,7265,22,34,244,101.1%,1/130,1/330,1/214
587,5471,15,13,-1403,91.5%,1/195,1/365,1/421
588,3797,8,10,-1673,85.3%,1/211,1/475,1/380
589,2818,8,6,-986,88.3%,1/201,1/352,1/470
590,2724,7,7,-598,92.7%,1/195,1/389,1/389
591,6525,27,17,479,102.4%,1/148,1/242,1/384
592,4973,18,16,-255,98.3%,1/146,1/276,1/311
593,8714,46,25,3184,112.2%,1/123,1/189,1/349
594,2438,5,5,-1264,82.7%,1/244,1/488,1/488
595,7825,39,17,1936,108.2%,1/140,1/201,1/460
596,7303,28,25,722,103.3%,1/138,1/261,1/292
597,5630,21,20,283,101.7%,1/137,1/268,1/282
598,4011,18,7,496,104.1%,1/160,1/223,1/573
599,5735,19,17,-357,97.9%,1/159,1/302,1/337
600,5934,21,16,-431,97.6%,1/160,1/283,1/371
601,3533,12,8,-649,93.9%,1/177,1/294,1/442
602,3255,12,5,-304,96.9%,1/191,1/271,1/651
603,5454,19,19,126,100.8%,1/144,1/287,1/287
604,2841,5,11,-1145,86.6%,1/178,1/568,1/258
605,5418,20,16,-256,98.4%,1/151,1/271,1/339
606,7383,31,21,625,102.8%,1/142,1/238,1/352
671,3129,7,7,-1073,88.6%,1/224,1/447,1/447
672,8576,36,31,2286,108.9%,1/128,1/238,1/277
673,5299,21,15,-159,99.0%,1/147,1/252,1/353
674,3992,14,8,-846,92.9%,1/181,1/285,1/499
675,2916,8,7,-1051,88.0%,1/194,1/365,1/417
676,2613,8,9,-334,95.7%,1/154,1/327,1/290
677,6352,27,31,1999,110.5%,1/110,1/235,1/205
678,2682,11,3,-349,95.7%,1/192,1/244,1/894
679,4653,19,10,269,101.9%,1/160,1/245,1/465
680,3359,8,10,-1210,88.0%,1/187,1/420,1/336
681,3061,7,5,-1393,84.8%,1/255,1/437,1/612
682,6418,27,27,1861,109.7%,1/119,1/238,1/238
683,6851,22,23,-896,95.6%,1/152,1/311,1/298
689,6064,29,16,1274,107.0%,1/135,1/209,1/379
690,5514,18,16,-663,96.0%,1/162,1/306,1/345
691,2688,10,5,-119,98.5%,1/179,1/269,1/538
692,2712,5,8,-1369,83.2%,1/209,1/542,1/339
693,8549,39,30,2290,108.9%,1/124,1/219,1/285
694,6396,23,23,231,101.2%,1/139,1/278,1/278
695,4763,21,9,389,102.7%,1/159,1/227,1/529
696,1826,8,4,52,100.9%,1/152,1/228,1/457
697,2646,6,8,-930,88.3%,1/189,1/441,1/331
698,3995,12,10,-766,93.6%,1/182,1/333,1/400
699,2646,7,6,-875,89.0%,1/204,1/378,1/441
700,7484,40,13,2103,109.4%,1/141,1/187,1/576
701,5426,20,12,-336,97.9%,1/170,1/271,1/452
