date,next_date,台番,差枚,G数,出率,BB,RB,合成,BB率,RB率,rate_denominator,差枚_next,G数_next,BB_next,RB_next,出率_next,BB率_next,RB率_next,合成_next
2025-07-02,2025-07-03,593,1766,4466,113.2%,21,19,1/112,1/213,1/235,235.0,942,5527,23,23,105.7%,1/240,1/240,1/120
2025-07-03,2025-07-04,593,942,5527,105.7%,23,23,1/120,1/240,1/240,240.0,1766,4701,17,22,103.7%,1/277,1/214,1/121
2025-07-04,2025-07-05,593,1766,4701,103.7%,17,22,1/121,1/277,1/214,214.0,1172,6599,28,19,105.9%,1/236,1/347,1/140
2025-07-05,2025-07-06,593,1172,6599,105.9%,28,19,1/140,1/236,1/347,347.0,2683,4165,26,12,121.5%,1/160,1/347,1/110
2025-07-06,2025-07-07,593,2683,4165,121.5%,26,12,1/110,1/160,1/347,347.0,-231,1296,4,4,94.1%,1/324,1/324,1/162
2025-07-07,2025-07-08,593,-231,1296,94.1%,4,4,1/162,1/324,1/324,324.0,949,5837,26,18,105.4%,1/225,1/324,1/133
2025-07-08,2025-07-09,593,949,5837,105.4%,26,18,1/133,1/225,1/324,324.0,1366,3671,20,8,112.4%,1/184,1/459,1/131
2025-07-09,2025-07-10,593,1366,3671,112.4%,20,8,1/131,1/184,1/459,459.0,1085,1777,10,8,120.4%,1/178,1/222,1/99
2025-07-10,2025-07-11,593,1085,1777,120.4%,10,8,1/99,1/178,1/222,222.0,168,5196,20,17,101.1%,1/260,1/306,1/140
2025-07-11,2025-07-12,593,168,5196,101.1%,20,17,1/140,1/260,1/306,306.0,3389,7842,36,39,114.4%,1/218,1/201,1/105
2025-07-12,2025-07-13,593,3389,7842,114.4%,36,39,1/105,1/218,1/201,201.0,-905,2583,5,8,88.3%,1/517,1/323,1/199
2025-07-13,2025-07-14,593,-905,2583,88.3%,5,8,1/199,1/517,1/323,323.0,777,1977,12,2,113.1,1/165,1/989,1/141
2025-07-14,2025-07-15,593,777,1977,113.1,12,2,1/141,1/165,1/989,989.0,-193,1828,5,6,96.5%,1/366,1/305,1/166
2025-07-15,2025-07-16,593,-193,1828,96.5%,5,6,1/166,1/366,1/305,305.0,-285,634,1,2,85.0,1/634,1/317,1/211
2025-07-16,2025-07-17,593,-285,634,85.0,1,2,1/211,1/634,1/317,317.0,-787,1073,2,0,75.6%,1/537,-,1/537
2025-07-18,2025-07-19,593,-634,5894,96.4%,17,18,1/168,1/347,1/327,327.0,2569,8599,35,45,110%,1/246,1/191,1/107
2025-07-19,2025-07-20,593,2569,8599,110%,35,45,1/107,1/246,1/191,191.0,1121,4078,21,10,109.2%,1/194,1/408,1/132
2025-07-20,2025-07-21,593,1121,4078,109.2%,21,10,1/132,1/194,1/408,408.0,-796,4091,13,10,93.5,1/315,1/409,1/178
2025-07-21,2025-07-22,593,-796,4091,93.5,13,10,1/178,1/315,1/409,409.0,-168,1157,4,1,95.2,1/289,1/1157,1/231
2025-07-22,2025-07-23,593,-168,1157,95.2,4,1,1/231,1/289,1/1157,1157.0,-888,1874,4,7,84.2,1/469,1/268,1/170
2025-07-23,2025-07-24,593,-888,1874,84.2,4,7,1/170,1/469,1/268,268.0,217,2371,11,7,103.1,1/216,1/339,1/132
2025-07-24,2025-07-25,593,217,2371,103.1,11,7,1/132,1/216,1/339,339.0,-785,4216,11,15,93.8,1/383,1/281,1/162
2025-07-25,2025-07-26,593,-785,4216,93.8,11,15,1/162,1/383,1/281,281.0,3184,8714,46,25,112.2,1/189,1/349,1/123
2025-07-26,2025-07-27,593,3184,8714,112.2,46,25,1/123,1/189,1/349,349.0,-535,4909,14,16,96.4,1/351,1/307,1/164
2025-07-27,2025-07-28,593,-535,4909,96.4,14,16,1/164,1/351,1/307,307.0,-1111,1368,2,2,72.9,1/684,1/684,1/342
2025-07-28,2025-07-29,593,-1111,1368,72.9,2,2,1/342,1/684,1/684,684.0,-723,2953,9,8,91.8,1/328,1/369,1/174
2025-07-29,2025-07-30,593,-723,2953,91.8,9,8,1/174,1/328,1/369,369.0,-562,1470,3,4,87.3,1/490,1/368,1/210
2025-07-30,2025-07-31,593,-562,1470,87.3,3,4,1/210,1/490,1/368,368.0,-1127,3910,10,10,90.4,1/391,1/391,1/196
2025-07-31,2025-08-01,593,-1127,3910,90.4,10,10,1/196,1/391,1/391,391.0,1509,6889,25,37,107.3,1/276,1/186,1/111
2025-08-01,2025-08-02,593,1509,6889,107.3,25,37,1/111,1/276,1/186,186.0,2173,8545,36,33,108.5,1/237,1/259,1/124
